Codigo;Nome;Descrição;unidade_medida;estoque_atual;estoque_minimo
MC-12750;ROLAMENTO 3205 2RS PISTA DUPLA;;UN;0;0
MC-625;ROLAMENTO 6201 DDU - 1ª LINHA;;UN;0;0
MC-1941;ROLAMENTO 608 ZZ  - 1ª LINHA;;UN;0;0
MC-9318;ROLAMENTO 6304 ZZ - 1ª LINHA;;UN;0;0
MC-13124;ROLAMENTO NJ-205 EC3;;UN;0;0
MC-8459;ROLAMENTO UCR 204 ;;UN;0;0
MC-9661;ROLAMENTO 6202 DDU - 1ª LINHA;;UN;0;0
MC-2858;ANEL ELASTICO E-12;;UN;0;0
MC-4169;ROLAMENTO 6205 DDU - 1ª LINHA;;UN;0;0
MC-8458;MANCAL NP 204;;UN;0;0
MC-11038;ROLAMENTO 2205 GC3 - (021106983);;UN;0;0
MC-10370;ANEL ELASTICO E-25;;UN;0;0
MC-10575;ANEL TRAVA RS 5 LM (DIM 6799 ARANHA);;UN;0;0
MC-11718;BLOCO PILLOW BLOCK FECHADO 25MM - LINEAR;;UN;0;0
MC-10790;ROLAMENTO 6305 DDU - 1ª LINHA SEM FOLGA;;UN;0;0
MC-13085;ROLAMENTO 6908 DDU - 1ª LINHA;;UN;0;0
MC-738;ANEL ELASTICO E-20;;UN;0;0
MC-626;ROLAMENTO 6301 DDU - 1ª LINHA;;UN;0;0
MC-8704;ANEL ELASTICO I-52;;UN;0;0
MC-8630;ANEL ELASTICO I-32;;UN;0;0
MC-9225;ROLAMENTO 6006 DDU - 2ª LINHA;;UN;0;0
MC-767;ANEL ELASTICO I-40;;UN;0;0
MC-739;ANEL ELASTICO E-23;;UN;0;0
MC-13018;ROLAMENTO 6003 DDU - 1ª LINHA;;UN;0;0
MC-10926;ROLAMENTO 6203 DDU - 1ª LINHA;;UN;0;0
MC-10217;ROLAMENTO 1304 - 1ª LINHA;;UN;0;0
MC-627;ROLAMENTO 6005 - 1ª LINHA;;UN;0;0
MC-12583;ANEL ELASTICO E-30;;UN;0;0
MC-11731;ANEL ELASTICO E-41;;UN;0;0
MC-8783;ANEL ELASTICO I-62;;UN;0;0
MC-10629;PARAF. ALLEN C/C R/I M6X16;;UN;0;0
MC-3185;BARRA ROSCADA 1/4'';;UN;0;0
MC-9720;BUCHA AMERICANA 5/16 X 20;;UN;0;0
MC-9244;PARAF. ALLEN ABAU. R/I 5/16''X1'' - Z/B;;UN;0;0
MC-12859;"PARAF. ALLEN C/C R/I 3/8''X 1 3/4""";;UN;0;0
MC-13238;PARAF. ALLEN C/C R/I M10X25;;UN;0;0
MC-910;PARAF. ALLEN C/C R/I M5X20;;UN;0;0
MC-13228;"PARAF. ALLEN C/C R/P 1/4""X2"" (CÓPIA)";;UN;0;0
MC-12646;PARAF. ALLEN C/C R/P M12X110 (D912);;UN;0;0
MC-12645;PARAF. ALLEN C/C R/P M12X130 (D912);;UN;0;0
MC-13218;PARAF. ALLEN C/CABECA R/I M16X45;;UN;0;0
MC-1990;PARAF. ALLEN CAB. CHATA 1/4''X60 (A.P);;UN;0;0
MC-10541;PARAF. ALLEN S/C R/I 1/4''X1/2'';;UN;0;0
MC-848;PARAF. ALLEN S/C R/I 5/16''X1 1/2'';;UN;0;0
MC-8967;"PARAF. ALLEN S/C R/I M6""X10MM";;UN;0;0
MC-12952;PARAF. FRANCES DE INOX 1/4X3/4;;UN;0;0
MC-10624;PARAF. FRANCES M10X40;;UN;0;0
MC-8903;PARAF. PHILIPS TP 1/4 X 40 ZB - 13MM ED ROSCA;;UN;0;0
MC-3536;PARAF. SEXT. R/I 1/4''X1 1/2'' *;;UN;0;0
MC-9571;PARAF. SEXT. R/P M12X150 Z/P;;UN;0;0
MC-3646;PARAF. SEXT. R/P M6X40 ZINCADO PRETO;;UN;0;0
MC-13219;PORCA PARLOK M16 ZINCADO PRETO;;UN;0;0
MC-6906;PORCA SEXT. 3/4'';;UN;0;0
MC-886;PARAF. ALLEN ABAU. R/I M6X25;;UN;0;0
MC-10994;PARAF. ALLEN C/C R/I M6X30 ;;UN;0;0
MC-12364;PARAF. ALLEN C/CHATA R/I M5X16;;UN;0;0
MC-12503;PARAF. ALLEN C/C R/I M4X20;;UN;0;0
MC-2365;PARAF. SEXT. R/I 3/8''X1 1/2'' ;;UN;0;0
MC-13424;PARAF. PHILIPS R/I M3 X 30;;UN;0;0
MC-12676;ARRUELA VEDACAO DE BORRACHA 5/16;;UN;0;0
MC-639;PARAF. ALLEN C/C R/I M8X20;;UN;0;0
MC-707;ARRUELA M10X25;;UN;0;0
